"datetime";"date";"time";"price";"shares";"amount";"tax";"fee";"realizedgains";"type";"broker";"assettype";"identifier";"wkn";"originalcurrency";"currency";"fxrate";"holding";"holdingname";"holdingnickname";"exchange";"avgholdingperiod"
"2025-07-30T03:51:44.618Z";"30.07.2025";"05:51:00";1;131,81;131,81;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-29T07:00:00.001Z";"29.07.2025";"09:00:00";0,48;57;27,42;0;0;;"Dividend";"scalable_capital";"Security";"CNE100000296";"A0M4W9";;"EUR";;;"BYD";;"";
"2025-07-29T07:00:00.000Z";"29.07.2025";"09:00:00";0,48;57;27,42;0;0;;"Dividend";"scalable_capital";"Security";"CNE100000296";"A0M4W9";;"EUR";;;"BYD";;"";
"2025-07-28T21:34:36.000Z";"28.07.2025";"23:34:00";1;0;0;-206,15;0;;"cost";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-28T15:18:38.523Z";"28.07.2025";"17:18:00";1;48;48;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-28T09:43:03.811Z";"28.07.2025";"11:43:00";1;3,17;3,17;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-28T07:13:00.000Z";"28.07.2025";"09:13:00";9,56;125;1194,75;0;1;-749,63;"Sell";"trade_republic";"Security";"US8036071004";"A1J1BH";;"EUR";;;"Sarepta Therapeutics";"";"langschwarz";2037300000
"2025-07-26T11:36:26.911Z";"26.07.2025";"13:36:00";1;25;25;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-25T13:21:11.859Z";"25.07.2025";"15:21:00";1;9,54;9,54;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-21T15:11:32.958Z";"21.07.2025";"17:11:00";1;48;48;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-21T10:00:07.806Z";"21.07.2025";"12:00:00";1;3,93;3,93;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-21T09:18:02.117Z";"21.07.2025";"11:18:00";1;21,99;21,99;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-21T07:49:00.000Z";"21.07.2025";"09:49:00";44,85;1,417635;63,58;3,73;1;13,58;"Sell";"trade_republic";"Security";"US86800U3023";"A40MRM";;"EUR";;;"Super Micro Computer";"";"langschwarz";4236540000
"2025-07-21T00:42:20.633Z";"21.07.2025";"02:42:00";1;17,4;17,4;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-20T08:50:26.146Z";"20.07.2025";"10:50:00";1;2,24;2,24;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-19T18:21:53.818Z";"19.07.2025";"20:21:00";1;6,92;6,92;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-17T07:00:00.000Z";"17.07.2025";"09:00:00";1;0;0;1,09;0;;"cost";"trade_republic";"Security";"IE0003XJA0J9";"ETF151";;"EUR";;;"Amundi Prime All Country World UCITS ETF - USD ACC";"";"langschwarz";
"2025-07-16T21:57:15.241Z";"16.07.2025";"23:57:00";1;87,99;87,99;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-16T16:03:28.023Z";"16.07.2025";"18:03:00";1;48;48;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-15T09:49:53.987Z";"15.07.2025";"11:49:00";1;3,97;3,97;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-14T14:19:31.947Z";"14.07.2025";"16:19:00";1;7,35;7,35;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-12T06:58:45.785Z";"12.07.2025";"08:58:00";1;8,63;8,63;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-10T07:00:00.000Z";"10.07.2025";"09:00:00";0,66;0,747557;0,5;0,19;0;;"Dividend";"trade_republic";"Security";"US8740391003";"909800";;"EUR";;;"TSMC (ADR)";"";"langschwarz";
"2025-07-09T15:17:07.970Z";"09.07.2025";"17:17:00";1;48;48;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-08T16:19:58.322Z";"08.07.2025";"18:19:00";1;321,68;321,68;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-08T15:24:07.564Z";"08.07.2025";"17:24:00";1;254,11;254,11;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-08T04:07:03.418Z";"08.07.2025";"06:07:00";1;299,43;299,43;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-07T15:15:24.289Z";"07.07.2025";"17:15:00";1;16,45;16,45;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-06T01:31:35.640Z";"06.07.2025";"03:31:00";1;3,74;3,74;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-05T18:21:55.880Z";"05.07.2025";"20:21:00";1;400;400;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
